korean,category_guess,source_sentence,is_registered,matched_glossary_term,note
대체식신청서,제출,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,N,알레르기; 신청서; 급식; 제출,preferred_vi 입력 필요
대체식신청서보건실,제출,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,N,알레르기; 신청서; 급식; 제출,preferred_vi 입력 필요
신청서 보건실 제출해,제출,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,N,알레르기; 신청서; 급식; 제출,preferred_vi 입력 필요
신청서보건실제출해,제출,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,N,알레르기; 신청서; 급식; 제출,preferred_vi 입력 필요
알레르기,제출,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,Y,알레르기; 신청서; 급식; 제출,기존 사전 용어
알레르기 대체식 신청서,제출,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,N,알레르기; 신청서; 급식; 제출,preferred_vi 입력 필요
알레르기대체식신청서,제출,급식 알레르기 대체식 신청서는 보건실로 제출해 주세요,N,알레르기; 신청서; 급식; 제출,preferred_vi 입력 필요
교과서,기타,교과서에 이름표를 붙여 주세요,N,,preferred_vi 입력 필요
신청한,제출,학부모 자원봉사는 먼저 신청한 순서로 받습니다,N,,preferred_vi 입력 필요
자원봉사,제출,학부모 자원봉사는 먼저 신청한 순서로 받습니다,N,,preferred_vi 입력 필요
재난안전,건강·안전,재난안전 활동지를 집으로 보냅니다,N,,preferred_vi 입력 필요
재난안전교육,건강·안전,재난안전 활동지를 집으로 보냅니다,N,,preferred_vi 입력 필요
활동지,건강·안전,재난안전 활동지를 집으로 보냅니다,N,,preferred_vi 입력 필요
안전교육,건강·안전,재난안전교육 후 가정 연계 활동지를 보내 드립니다,Y,안전교육,기존 사전 용어
재난안전교육 가정,건강·안전,재난안전교육 후 가정 연계 활동지를 보내 드립니다,N,안전교육,preferred_vi 입력 필요
